id;murre;lat;lon;klaster
701;saarte;58.55;23.13;2
702;saarte;58.51;23.15;2
703;saarte;58.44;23.31;2
704;saarte;58.43;23.22;2
705;saarte;58.45;23.15;2
706;saarte;58.39;23.07;2
707;saarte;58.35;23.03;2
708;saarte;58.37;22.95;2
709;saarte;58.3;22.92;2
710;saarte;58.3;22.84;2
711;saarte;58.26;22.81;2
712;saarte;58.27;22.71;2
713;saarte;58.25;22.7;2
714;saarte;58.22;22.74;2
715;saarte;58.21;22.7;2
716;saarte;58.24;22.62;2
717;saarte;58.2;22.58;2
718;saarte;58.24;22.53;2
719;saarte;58.21;22.5;2
720;saarte;58.24;22.46;2
721;saarte;NA;NA;2
722;saarte;58.57;23.39;2
723;saarte;58.54;23.39;2
724;saarte;58.53;23.37;2
725;saarte;58.51;23.38;2
726;saarte;58.5;23.36;2
727;saarte;58.51;23.34;2
728;saarte;58.52;23.35;2
729;saarte;58.53;23.33;2
730;saarte;58.54;23.32;2
731;saarte;58.53;23.3;2
732;saarte;58.54;23.26;2
733;saarte;58.52;23.23;2
734;saarte;58.54;23.19;2
735;saarte;58.54;23.19;2
736;saarte;58.57;23.14;2
737;saarte;58.57;23.12;2
738;saarte;58.6;23.06;2
739;saarte;58.62;23.08;2
740;saarte;58.62;23.13;2
741;saarte;58.63;23.14;2
742;saarte;58.67;23.13;2
743;saarte;58.68;23.18;2
744;saarte;58.65;23.31;2
745;saarte;58.64;23.35;2
746;saarte;58.62;23.35;2
747;saarte;58.61;23.34;2
748;saarte;58.58;23.37;2
749;saarte;58.57;23.39;2
750;saarte;NA;NA;2
751;saarte;58.13;24;2
752;saarte;58.12;24.01;2
753;saarte;58.12;24;2
754;saarte;58.11;24;2
755;saarte;58.11;23.99;2
756;saarte;58.1;23.99;2
757;saarte;58.1;23.97;2
758;saarte;58.09;23.97;2
759;saarte;58.11;23.95;2
760;saarte;58.13;23.95;2
761;saarte;58.15;23.96;2
762;saarte;58.15;24.01;2
763;saarte;58.15;24.02;2
764;saarte;58.14;24.01;2
765;saarte;58.13;24.01;2
766;saarte;58.13;24;2
767;saarte;NA;NA;2
768;saarte;57.82;23.23;2
769;saarte;57.81;23.26;2
770;saarte;57.8;23.27;2
771;saarte;57.79;23.27;2
772;saarte;57.78;23.26;2
773;saarte;57.78;23.23;2
774;saarte;57.78;23.21;2
775;saarte;57.79;23.21;2
776;saarte;57.8;23.21;2
777;saarte;57.81;23.22;2
778;saarte;57.81;23.21;2
779;saarte;57.82;23.21;2
780;saarte;57.82;23.23;2
